pop	X	Y	tempPC1	tempPC2	precipPC1	precipPC2	flowPC1	flowPC2
STG	704.603494	858.29405	1.296196605	-0.700158541	1.179663191	-0.795540651	2.949549739	-1.977081368
STG	704.603494	858.29405	1.296196605	-0.700158541	1.179663191	-0.795540651	2.949549739	-1.977081368
STG	704.603494	858.29405	1.296196605	-0.700158541	1.179663191	-0.795540651	2.949549739	-1.977081368
STG	704.603494	858.29405	1.296196605	-0.700158541	1.179663191	-0.795540651	2.949549739	-1.977081368
STG	704.603494	858.29405	1.296196605	-0.700158541	1.179663191	-0.795540651	2.949549739	-1.977081368
STG	704.603494	858.29405	1.296196605	-0.700158541	1.179663191	-0.795540651	2.949549739	-1.977081368
STG	704.603494	858.29405	1.296196605	-0.700158541	1.179663191	-0.795540651	2.949549739	-1.977081368
STG	704.603494	858.29405	1.296196605	-0.700158541	1.179663191	-0.795540651	2.949549739	-1.977081368
STG	704.603494	858.29405	1.296196605	-0.700158541	1.179663191	-0.795540651	2.949549739	-1.977081368
STG	704.603494	858.29405	1.296196605	-0.700158541	1.179663191	-0.795540651	2.949549739	-1.977081368
OAK	1051.13331	-823.49886	1.187202676	-0.21632959	1.321230117	-0.982104562	1.897940071	-1.258705108
OAK	1051.13331	-823.49886	1.187202676	-0.21632959	1.321230117	-0.982104562	1.897940071	-1.258705108
OAK	1051.13331	-823.49886	1.187202676	-0.21632959	1.321230117	-0.982104562	1.897940071	-1.258705108
OAK	1051.13331	-823.49886	1.187202676	-0.21632959	1.321230117	-0.982104562	1.897940071	-1.258705108
OAK	1051.13331	-823.49886	1.187202676	-0.21632959	1.321230117	-0.982104562	1.897940071	-1.258705108
OAK	1051.13331	-823.49886	1.187202676	-0.21632959	1.321230117	-0.982104562	1.897940071	-1.258705108
OAK	1051.13331	-823.49886	1.187202676	-0.21632959	1.321230117	-0.982104562	1.897940071	-1.258705108
OAK	1051.13331	-823.49886	1.187202676	-0.21632959	1.321230117	-0.982104562	1.897940071	-1.258705108
OAK	1051.13331	-823.49886	1.187202676	-0.21632959	1.321230117	-0.982104562	1.897940071	-1.258705108
OAK	1051.13331	-823.49886	1.187202676	-0.21632959	1.321230117	-0.982104562	1.897940071	-1.258705108
OAK	1051.13331	-823.49886	1.187202676	-0.21632959	1.321230117	-0.982104562	1.897940071	-1.258705108
OAK	1051.13331	-823.49886	1.187202676	-0.21632959	1.321230117	-0.982104562	1.897940071	-1.258705108
OAK	1051.13331	-823.49886	1.187202676	-0.21632959	1.321230117	-0.982104562	1.897940071	-1.258705108
OAK	1051.13331	-823.49886	1.187202676	-0.21632959	1.321230117	-0.982104562	1.897940071	-1.258705108
OAK	1051.13331	-823.49886	1.187202676	-0.21632959	1.321230117	-0.982104562	1.897940071	-1.258705108
OAK	1051.13331	-823.49886	1.187202676	-0.21632959	1.321230117	-0.982104562	1.897940071	-1.258705108
OAK	1051.13331	-823.49886	1.187202676	-0.21632959	1.321230117	-0.982104562	1.897940071	-1.258705108
OAK	1051.13331	-823.49886	1.187202676	-0.21632959	1.321230117	-0.982104562	1.897940071	-1.258705108
WAR	1211.20383	-988.72374	0.352922625	-1.348266942	1.897010349	-0.551127767	0.488354181	1.006729952
WAR	1211.20383	-988.72374	0.352922625	-1.348266942	1.897010349	-0.551127767	0.488354181	1.006729952
WAR	1211.20383	-988.72374	0.352922625	-1.348266942	1.897010349	-0.551127767	0.488354181	1.006729952
WAR	1211.20383	-988.72374	0.352922625	-1.348266942	1.897010349	-0.551127767	0.488354181	1.006729952
WAR	1211.20383	-988.72374	0.352922625	-1.348266942	1.897010349	-0.551127767	0.488354181	1.006729952
WAR	1211.20383	-988.72374	0.352922625	-1.348266942	1.897010349	-0.551127767	0.488354181	1.006729952
WAR	1211.20383	-988.72374	0.352922625	-1.348266942	1.897010349	-0.551127767	0.488354181	1.006729952
WAR	1211.20383	-988.72374	0.352922625	-1.348266942	1.897010349	-0.551127767	0.488354181	1.006729952
WAR	1211.20383	-988.72374	0.352922625	-1.348266942	1.897010349	-0.551127767	0.488354181	1.006729952
WAR	1211.20383	-988.72374	0.352922625	-1.348266942	1.897010349	-0.551127767	0.488354181	1.006729952
WAR	1211.20383	-988.72374	0.352922625	-1.348266942	1.897010349	-0.551127767	0.488354181	1.006729952
WAR	1211.20383	-988.72374	0.352922625	-1.348266942	1.897010349	-0.551127767	0.488354181	1.006729952
WAR	1211.20383	-988.72374	0.352922625	-1.348266942	1.897010349	-0.551127767	0.488354181	1.006729952
WAR	1211.20383	-988.72374	0.352922625	-1.348266942	1.897010349	-0.551127767	0.488354181	1.006729952
WAR	1211.20383	-988.72374	0.352922625	-1.348266942	1.897010349	-0.551127767	0.488354181	1.006729952
WAR	1211.20383	-988.72374	0.352922625	-1.348266942	1.897010349	-0.551127767	0.488354181	1.006729952
WAR	1211.20383	-988.72374	0.352922625	-1.348266942	1.897010349	-0.551127767	0.488354181	1.006729952
WAR	1211.20383	-988.72374	0.352922625	-1.348266942	1.897010349	-0.551127767	0.488354181	1.006729952
WAR	1211.20383	-988.72374	0.352922625	-1.348266942	1.897010349	-0.551127767	0.488354181	1.006729952
WAR	1211.20383	-988.72374	0.352922625	-1.348266942	1.897010349	-0.551127767	0.488354181	1.006729952
KIL	1239.49826	-1017.2008	-0.212326716	-1.511959506	2.619088182	-0.062144991	0.186803517	1.257327247
KIL	1239.49826	-1017.2008	-0.212326716	-1.511959506	2.619088182	-0.062144991	0.186803517	1.257327247
KIL	1239.49826	-1017.2008	-0.212326716	-1.511959506	2.619088182	-0.062144991	0.186803517	1.257327247
KIL	1239.49826	-1017.2008	-0.212326716	-1.511959506	2.619088182	-0.062144991	0.186803517	1.257327247
KIL	1239.49826	-1017.2008	-0.212326716	-1.511959506	2.619088182	-0.062144991	0.186803517	1.257327247
KIL	1239.49826	-1017.2008	-0.212326716	-1.511959506	2.619088182	-0.062144991	0.186803517	1.257327247
KIL	1239.49826	-1017.2008	-0.212326716	-1.511959506	2.619088182	-0.062144991	0.186803517	1.257327247
KIL	1239.49826	-1017.2008	-0.212326716	-1.511959506	2.619088182	-0.062144991	0.186803517	1.257327247
KIL	1239.49826	-1017.2008	-0.212326716	-1.511959506	2.619088182	-0.062144991	0.186803517	1.257327247
KIL	1239.49826	-1017.2008	-0.212326716	-1.511959506	2.619088182	-0.062144991	0.186803517	1.257327247
KIL	1239.49826	-1017.2008	-0.212326716	-1.511959506	2.619088182	-0.062144991	0.186803517	1.257327247
KIL	1239.49826	-1017.2008	-0.212326716	-1.511959506	2.619088182	-0.062144991	0.186803517	1.257327247
KIL	1239.49826	-1017.2008	-0.212326716	-1.511959506	2.619088182	-0.062144991	0.186803517	1.257327247
KIL	1239.49826	-1017.2008	-0.212326716	-1.511959506	2.619088182	-0.062144991	0.186803517	1.257327247
KIL	1239.49826	-1017.2008	-0.212326716	-1.511959506	2.619088182	-0.062144991	0.186803517	1.257327247
KIL	1239.49826	-1017.2008	-0.212326716	-1.511959506	2.619088182	-0.062144991	0.186803517	1.257327247
KIL	1239.49826	-1017.2008	-0.212326716	-1.511959506	2.619088182	-0.062144991	0.186803517	1.257327247
KIL	1239.49826	-1017.2008	-0.212326716	-1.511959506	2.619088182	-0.062144991	0.186803517	1.257327247
